0.topic, 1.topic, 2.topic, 3.topic, 4.topic, 5.topic, 6.topic, 7.topic, 8.topic, 9.topic, 10.topic, 11.topic, 12.topic, 13.topic, 14.topic, class
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0.006,0,kizgin
0.016,0.078,0.01,0.002,0,0.003,0.015,0.013000000000000001,0.01,0,0.004,0.016,0.025,0,0.005,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.017,0.076,0.012,0.074,0,0,0.002,0.008,0.011,0.001,0.004,0.012,0.133,0,0.01,kizgin
0.026000000000000002,0.02,0,0.058,0,0.014,0.12,0.174,0.005,0,0.004,0,0.01,0.004,0.005,kizgin
0.002,0,0.013,0.007,0,0,0.005,0.004,0,0,0,0.005,0.004,0,0,kizgin
0.001,0,0.007,0.072,0.008,0,0.004,0,0,0.001,0,0.001,0.003,0,0,kizgin
0.002,0.028,0.005,0.006,0,0.003,0.014,0.005,0.004,0,0.007,0.007,0.02,0,0,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.008,0.014,0.001,0.029,0,0.002,0.011,0.087,0.014000000000000002,0,0.002,0.004,0.25,0.002,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.013,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0,0.02,0.003,0,0,0.003,0.014,0.005,0.002,0,0,0.011,0.27,0,0,kizgin
0.008,0.019,0,0.043000000000000003,0,0.002,0.013,0.087,0.001,0,0.002,0.005,0,0.002,0,kizgin
0.007,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.005,0.002,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.008,0,0.004,0.22200000000000003,0,0,0.005,0.006,0,0,0.003,0.012,0,0,0,kizgin
0.02,0.059000000000000004,0.007,0.003,0,0,0.001,0.008,0.01,0,0.004,0.068,0.005,0,0.005,kizgin
0.020000000000000004,0.058,0.007,0.002,0.005,0,0.001,0.008,0.01,0,0.004,0.019,0.005,0,0.005,kizgin
0.023,0.062,0.008,0.004,0,0.003,0.001,0.008,0.01,0.004,0.004,0.027000000000000003,0.005,0,0.005,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.019,0,0.001,0.009,0,0,0.005,0,0,0,0,0.004,0,0,0,kizgin
0.023000000000000003,0.07200000000000001,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.04,0.132,0.014,0.006,0,0,0.002,0.016,0.02,0,0.008,0.018,0.01,0,0.01,kizgin
0.019,0.059000000000000004,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.003,0,0,0,0.004,0,0.009,0.153,0,0,0.008,0,0,0,0,kizgin
0.005,0,0,0,0,0,0,0.306,0,0,0.016,0,0,0,0,kizgin
0.006,0.001,0.001,0.009,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0,0.033,0.017,0,0,0,0.014,0,0.019,0.001,0.001,0,0,0,0.006,kizgin
0.001,0.033,0.005,0,0,0,0.015,0,0.004,0.057,0.003,0.044,0,0,0.006,kizgin
0,0.037000000000000005,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.016,0.093,0.012,0.002,0.001,0,0.02,0.008,0.06200000000000001,0.001,0.005,0.009,0.005,0.027,0.011,kizgin
0.021,0.035,0.002,0.002,0.007,0.003,0.014,0,0.004,0.001,0.001,0,0.004,0,0.006,kizgin
0.018000000000000002,0.01,0.001,0.029,0.134,0.002,0.013,0.087,0.001,0,0.003,0.001,0,0.002,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.001,0.033,0.002,0,0,0,0.019,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.004,0.006,0.001,0,0,0.01,0.095,0,0.01,0,0,0.004,0.006,0,0,kizgin
0.005,0.033,0.003,0,0.134,0,0.016,0,0.004,0.001,0.002,0.001,0.009,0,0.006,kizgin
0.006,0,0,0,0,0.01,0.095,0,0.003,0.004,0.004,0.004,0.006,0,0,kizgin
0.007,0.063,0.016,0.004,0,0.011,0.019,0,0.004,0.001,0.001,0.015,0.006,0.001,0.006,kizgin
0.003,0,0,0,0,0.01,0.095,0,0.003,0,0,0,0.006,0,0,kizgin
0.014,0.004,0.001,0,0,0,0,0,0.001,0,0,0.098,0.055,0.023999999999999997,0,kizgin
0,0.003,0.026,0.013,0.001,0,0,0,0,0,0,0,0,0,0,kizgin
0,0.002,0,0,0,0,0.019,0.019,0,0,0.112,0,0.003,0,0,kizgin
0.016,0.058,0.008,0.002,0,0,0.001,0.031,0.01,0,0.004,0.009,0.005,0.003,0.005,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.013,0.011,0.002,0.192,0.004,0.002,0.013999999999999999,0.09,0.001,0,0.004,0.006,0,0.002,0,kizgin
0.013000000000000001,0.012,0,0.031,0,0.002,0.012,0.087,0.001,0,0.002,0.044,0,0.002,0,kizgin
0,0.002,0,0,0,0,0,0.019,0,0,0.112,0,0.003,0,0,kizgin
0.016,0.059000000000000004,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.001,0.001,0.026,0.09899999999999999,0.003,0,0.001,0,0,0.001,0,0.001,0.003,0,0.027,kizgin
0.006,0,0.002,0.14500000000000002,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0,0.002,0,0,0,0,0,0.023,0,0,0.136,0,0.003,0,0,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.014,0.004,0,0,0,0.009,0,0,0.002,0,0,0.1,0.148,0.001,0,kizgin
0.022,0.058,0.009000000000000001,0.14300000000000002,0,0,0.004,0.011,0.01,0,0.006,0.015,0.005,0,0.005,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.032,0.116,0.014,0.004,0,0,0.002,0.016,0.02,0,0.008,0.018,0.01,0,0.01,kizgin
0.007,0.002,0.002,0.14100000000000001,0.002,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.011000000000000001,0.013000000000000001,0,0.029,0,0.002,0.013,0.087,0.001,0,0.002,0.004,0,0.002,0,kizgin
0.017,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.045,0.07600000000000001,0.007,0.033,0,0.005,0.012,0.096,0.14600000000000002,0.004,0.006,0.111,0.028,0.003,0.005,kizgin
0.017,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0.002,0.008,0.009,0.005,0,0.28,kizgin
0.023,0.058,0.007,0.002,0.008,0,0.001,0.008,0.01,0,0.004,0.016,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.034,0.058,0.007,0.053,0.023,0,0.001,0.012,0.01,0.001,0.004,0.009,0.006,0.035,0.011,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.017,0.058,0.007,0.004,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.014,0.037000000000000005,0.008,0.002,0,0,0.014,0,0.005,0.001,0.005,0.098,0.023,0.004,0.006,kizgin
0.017,0.058,0.007,0.002,0,0,0.001,0.016,0.01,0,0.028,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.006,0,0.002,0.14100000000000001,0,0,0.092,0.003,0.002,0,0.029,0.006,0.005,0.011,0,kizgin
0.032,0.009000000000000001,0.003,0,0.001,0,0.005,0,0.002,0,0,0.196,0.046,0.002,0,kizgin
0.006,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.029,0.008,0,0.007,0,0,0,0,0.002,0,0,0.196,0.046,0.002,0.027,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0,0.003,0.004,0.007,0.003,0,0,0.004,0,0.024,0,0,0,0,0,kizgin
0.008,0.001,0.003,0.15,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.041,0.089,0.031,0.18,0.002,0.14500000000000002,0.015,0.098,0.011,0,0.054,0.043,0.005,0.002,0.005,kizgin
0.006,0,0.002,0.14100000000000001,0,0,0.005,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.04200000000000001,0.06,0.026000000000000002,0.151,0.007,0.024999999999999998,0.003,0.003,0,0,0.002,0.024,0.016,0.002,0,kizgin
0.022000000000000002,0.076,0.014000000000000002,0.14300000000000002,0,0,0.004,0.011,0.01,0,0.006,0.015,0.005,0,0.01,kizgin
0.009000000000000001,0.016,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0.014,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.008,0.01,0,0.035,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.008,0.01,0,0.029,0,0.011,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.009000000000000001,0.01,0,0.029,0,0.002,0.011,0.09699999999999999,0.001,0,0.002,0,0,0.002,0,kizgin
0.013000000000000001,0.01,0,0.029,0,0.002,0.013999999999999999,0.087,0.001,0,0.002,0,0,0.002,0.005,kizgin
0.016,0.004,0,0,0,0,0,0,0.001,0,0.004,0.10200000000000001,0.023,0.001,0,kizgin
0.031,0.08,0.012,0.002,0,0,0.001,0.008,0.011,0,0.004,0.107,0.028,0.001,0.01,kizgin
0.002,0.002,0,0,0,0,0,0.019,0,0,0.112,0,0.003,0,0,kizgin
0,0.002,0,0,0,0,0,0.019,0,0,0.112,0,0.003,0,0,kizgin
0,0.002,0,0,0,0,0.009,0.019,0,0,0.112,0,0.003,0,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0,0.034,0.003,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0,0.009,0,0.014,0,0,0.002,0,0,0,0.001,0.012,0.116,0,0,kizgin
0.007,0.030000000000000002,0.016,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.004,0.001,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.016,0.091,0.016,0.002,0,0,0.015,0.008,0.014,0.113,0.009000000000000001,0.009,0.005,0,0.011,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.01,0.035,0.022,0.004,0,0.011,0.004,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.006,0,0.013999999999999999,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.014,0.030000000000000002,0.012,0.004,0.002,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.016,0.004,0.001,0.011,0,0.001,0.001,0,0.003,0.020999999999999998,0.131,0.117,0,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0.03,0.008,0.011,0.024,0.137,0.004,0.01,0,0,0,0.001,0.008,0.099,0.006,0.017,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0,0.004,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0.010000000000000002,0.001,0,0.007,0.002,0,0.089,0.01,0.002,0,0.005,0.007,0.10400000000000001,0.011,0.027,kizgin
0.017,0.059000000000000004,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.059000000000000004,0.007,0.002,0.01,0.007,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.028,0.003,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0.001,0.005,kizgin
0.019,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.020000000000000004,0.058,0.021,0.002,0,0,0.001,0.008,0.018000000000000002,0,0.004,0.009,0.005,0,0.005,kizgin
0.002,0.002,0,0,0.003,0,0,0,0,0.061,0.018,0.018,0.099,0.003,0,kizgin
0.006,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.020999999999999998,0,0.004,0.009,0.005,0,0.005,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.007,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.01,0.006,0.005,0.14700000000000002,0,0,0.005,0.007,0,0,0.006,0.006,0.008,0,0,kizgin
0.005,0,0.023,0.14200000000000002,0,0,0.003,0.003,0,0,0.002,0.006,0,0.001,0,kizgin
0.027,0.01,0,0.082,0.023,0.002,0.011,0.091,0.001,0.001,0.002,0.001,0.001,0.037000000000000005,0.006,kizgin
0.01,0.01,0,0.029,0,0.002,0.013,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.009000000000000001,0.013000000000000001,0.002,0.029,0,0.005,0.012,0.263,0.001,0,0.01,0,0,0.002,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.005,0.001,0.008,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0,0,0.033,0.013,0.004,0,0.003,0,0,0,0,0,0,0,0,kizgin
0.028,0.008,0,0,0,0,0,0,0.002,0,0,0.196,0.046,0.002,0,kizgin
0.021,0.078,0.01,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.01,0.002,0,0,0.001,0.008,0.029,0,0.004,0.009,0.005,0,0.005,kizgin
0.057999999999999996,0.008,0,0.004,0.014,0.006,0,0,0.001,0,0,0.098,0.031,0.001,0,kizgin
0.019000000000000003,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.024,0.014,0,0.029,0,0.002,0.011,0.087,0.002,0,0.002,0.098,0.023,0.003,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.007,0.031,0.012,0.004,0,0.011,0,0,0.004,0,0,0.009,0.006,0.001,0,kizgin
0.008,0.01,0,0.029,0.002,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0.026,0,0,0,0,0,kizgin
0.001,0.021,0.003,0.001,0,0.003,0.014,0.005,0,0,0,0.056,0.02,0,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0,0.011,0,0.014,0,0,0.002,0.019,0,0,0.112,0.005,0.003,0,0,kizgin
0.006,0.011,0.001,0.086,0.003,0.011,0.096,0,0.003,0.001,0,0.001,0.009000000000000001,0,0,kizgin
0,0,0.026,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.003,0.001,0.027,0.022,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.015,0.037000000000000005,0.002,0,0,0.003,0.016,0,0.005,0.001,0.001,0.098,0.023,0.001,0.006,kizgin
0.009000000000000001,0.001,0.009000000000000001,0.14400000000000002,0,0,0.003,0.003,0.004,0,0.002,0.006,0,0,0,kizgin
0.003,0.02,0.003,0,0,0.013000000000000001,0.111,0.005,0.003,0,0,0.007,0.026000000000000002,0,0,kizgin
0.001,0.009,0,0.014,0.001,0,0.002,0.153,0,0,0.008,0.005,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.002,0,0,0,0,0,0,0.153,0,0,0.008,0,0,0,0,kizgin
0.003,0.033,0.002,0,0,0.01,0.109,0,0.007,0.001,0.001,0,0.006,0,0.006,kizgin
0.003,0.02,0.003,0.072,0,0.013000000000000001,0.112,0.005,0.003,0.001,0,0.008,0.029,0,0,kizgin
0.003,0.002,0,0,0,0.019,0.095,0.004,0.003,0,0,0,0.006,0,0,kizgin
0.016,0.005,0,0.001,0,0,0,0,0.001,0,0,0.14700000000000002,0.023,0.001,0,kizgin
0.015,0.004,0,0.007,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0.027,kizgin
0.016,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.003,0.02,0.003,0,0,0.013000000000000001,0.109,0.005,0.003,0,0,0.007,0.026000000000000002,0,0,kizgin
0.021,0.033,0.012,0.004,0.061,0.011,0,0,0.009000000000000001,0.001,0.002,0.128,0.028999999999999998,0.002,0,kizgin
0.009000000000000001,0.011,0,0.030000000000000002,0,0.002,0.011,0.087,0.001,0,0.002,0.049,0,0.002,0,kizgin
0.018000000000000002,0.005,0.002,0.082,0,0,0.002,0.003,0.002,0.008,0.001,0.15500000000000003,0.148,0.001,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.113,0.005,0,0,0,0.006,kizgin
0.016,0.004,0,0,0.001,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.015,0.006,0.004,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.028,0.011,0.002,0,0,0.004,0,0,0.002,0,0.014,0.2,0.046,0.002,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.005,0.021,0.003,0.005,0,0.013000000000000001,0.113,0.005,0.003,0.004,0,0.007,0.026000000000000002,0,0,kizgin
0,0,0,0.076,0,0,0.001,0,0.001,0.001,0,0.003,0.128,0,0,kizgin
0.001,0.033,0.002,0,0,0,0.014,0.153,0.004,0.001,0.009000000000000001,0,0,0,0.006,kizgin
0.015,0.005,0,0.001,0,0,0,0,0.001,0,0,0.14700000000000002,0.023,0.001,0,kizgin
0.015,0.005,0,0.001,0,0,0,0,0.001,0,0,0.15800000000000003,0.023,0.001,0,kizgin
0.016,0.005,0,0.001,0,0,0,0,0.001,0,0,0.14700000000000002,0.023,0.001,0,kizgin
0.026,0.002,0,0.013,0,0,0,0,0,0.056,0.002,0.008,0,0,0.005,kizgin
0.001,0.002,0,0,0,0,0,0.177,0,0,0.065,0,0.002,0,0,kizgin
0.001,0.033,0.002,0,0,0,0.014,0.153,0.004,0.001,0.009000000000000001,0,0,0,0.006,kizgin
0.011,0.01,0.001,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.006,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.012,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.021,0.07400000000000001,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.028,0.008,0,0,0,0,0,0,0.002,0,0,0.196,0.046,0.002,0,kizgin
0.001,0,0,0,0,0,0,0.153,0,0,0.029,0,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.014,0.004,0,0,0,0.006,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.04,0.003,0,0.011,0.011,0.003,0,0,0,0,0,0.004,0.004,0,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.011,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.009,0,0,0.009,0,0,0,0,0.004,0,0,0,kizgin
0.039,0.061000000000000006,0.008,0.011,0,0,0.001,0.008,0.01,0,0.004,0.013,0.005,0,0.005,kizgin
0.02,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.028999999999999998,0.01,0.011,0.013,0.001,0.067,0.095,0,0.003,0,0.023,0.018000000000000002,0.006,0,0,kizgin
0.007,0.031000000000000003,0.012,0.005,0,0.011,0,0,0.004,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.030000000000000002,0.012,0.004,0,0.04,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.030000000000000002,0.076,0.007,0.004,0,0.003,0.09,0.008,0.012,0.004,0.008,0.013,0.01,0.011,0.005,kizgin
0.007,0.033,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.006,0,0.028,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0.006,0,kizgin
0,0.02,0.003,0,0,0.003,0.015,0.005,0,0,0.001,0.062,0.11900000000000001,0,0,kizgin
0.034,0.004,0,0.009,0,0,0,0,0.001,0,0,0.10200000000000001,0.023,0.001,0,kizgin
0.017,0.058,0.007,0.002,0.003,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.022000000000000002,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.031,0.082,0.012,0.002,0,0,0.001,0.008,0.011,0,0.004,0.107,0.028,0.001,0.01,kizgin
0.003,0,0.002,0.081,0,0,0.002,0.003,0.001,0,0.001,0.012,0.125,0,0,kizgin
0.021,0.003,0.005,0.003,0,0,0.009,0.01,0,0,0,0,0,0,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.01,0.045,0.014,0.013,0,0.011,0,0,0.007,0,0,0.009,0.006,0.001,0,kizgin
0.026,0.035,0.012,0.015,0,0.011,0,0,0,0,0.004,0.013,0.006,0.001,0,kizgin
0.022000000000000002,0.003,0.005,0.003,0.002,0,0,0.01,0,0,0,0,0,0,0,kizgin
0,0,0,0,0,0,0.001,0,0,0,0,0.044,0,0,0,kizgin
0.008,0.029,0.015,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.023,0,0.002,0.09,0.002,0,0.002,0.003,0.006,0,0.001,0.01,0,0,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0.003,0.003,0.018,0,0,0.002,0.006,0,0,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0.007,0.031000000000000003,0.012,0.004,0,0.032,0,0,0,0,0,0.009,0.006,0.018999999999999996,0,kizgin
0.007,0.029,0.012,0.006,0,0.025,0,0,0,0,0.011,0.009,0.006,0.001,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.021,0.08700000000000001,0.036000000000000004,0.012,0,0.033,0,0,0,0,0,0.026999999999999996,0.018000000000000002,0.003,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.026,0.029,0.012,0.013,0,0.011,0,0,0,0,0,0.013,0.006,0.001,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.02,0.018000000000000002,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.021,0.07400000000000001,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.008,0.001,0.004,0.162,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.009000000000000001,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.005,0,0.003,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.005,0.031,0.006,0.14100000000000001,0,0.003,0.021000000000000005,0.008,0.007,0.008,0.002,0.013000000000000001,0.02,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.017,0.060000000000000005,0.007,0.004,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0.056,0.006,0.009,0.005,0,0.005,kizgin
0.046,0.01,0,0.057,0.004,0.002,0.011,0.087,0.001,0,0.002,0.008,0,0.002,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.02,0,0.003,0.009,0,0,0,0,0.015,0,0,0.004,0,0,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0.019,0,0.003,0.009,0,0,0,0,0.015,0,0,0.004,0,0,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.023,0,0.001,0.009,0.134,0,0.002,0,0,0,0.001,0.005,0,0,0,kizgin
0.026,0.029,0.012,0.013,0,0.011,0,0,0,0,0,0.013,0.006,0.001,0,kizgin
0.021,0,0.001,0.009,0,0,0,0,0,0.001,0.002,0.004,0,0,0.128,kizgin
0.035,0.007,0.005,0.003,0,0,0,0.01,0.001,0,0,0.098,0.023,0.001,0,kizgin
