0.topic, 1.topic, 2.topic, 3.topic, 4.topic, 5.topic, 6.topic, 7.topic, 8.topic, 9.topic, 10.topic, 11.topic, 12.topic, 13.topic, 14.topic, class
0.016,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.021,0.033,0.012,0.004,0,0.011,0,0,0.001,0,0,0.107,0.028999999999999998,0.002,0,kizgin
0,0.002,0,0,0,0,0,0.019,0,0,0.112,0,0.003,0,0,kizgin
0.005,0,0.006,0.14100000000000001,0.001,0,0.003,0.004,0,0,0.005,0.016,0.004,0.116,0,kizgin
0.029,0.012,0,0.031,0.007,0.005,0.011,0.087,0.001,0,0.002,0,0.004,0.002,0,kizgin
0.014,0.005,0,0.02,0.004,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.019,0,0.005,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.023,0,0.002,0.09,0.002,0,0.002,0.003,0.006,0,0.001,0.01,0,0,0,kizgin
0.001,0.002,0.007,0,0.004,0,0.005,0.019,0,0,0.112,0,0.003,0,0,kizgin
0.005,0.008,0.002,0.14100000000000001,0,0,0.007,0.003,0,0.008,0.002,0.006,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0,0.033,0.009000000000000001,0,0.004,0,0.017,0,0.015,0.001,0.001,0,0,0,0.006,kizgin
0.006,0.012,0.011,0.076,0.001,0.057,0.001,0.019,0,0.001,0.135,0.015,0.006,0,0,kizgin
0.008,0.029,0.012,0.004,0,0.011,0.009,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.021,0.023,0.008,0.003,0,0.003,0.03,0.015,0,0,0,0.007,0.021,0,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.099,0,0,kizgin
0.027,0.01,0,0.038,0,0.002,0.011,0.087,0.001,0,0.002,0.004,0,0.002,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.091,0.001,0,0.002,0.004,0,0.002,0,kizgin
0.008,0.011,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.014,0.007,0.001,0,0,0,0,0,0.008,0,0,0.098,0.023,0.001,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.008,0.004,0.027,0.015,0.001,0.006,0,0,0,0.004,0,0.004,0,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.006,0,0.002,0.14300000000000002,0,0,0.007,0.003,0,0,0.002,0.018000000000000002,0.008,0,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.022,0.115,0.012,0.004,0,0.006,0.028999999999999998,0.013000000000000001,0.014,0.005,0.005,0.02,0.025,0,0.011,kizgin
0.004,0,0.002,0.081,0,0,0.002,0.156,0,0,0.009000000000000001,0.006,0,0,0,kizgin
0.017,0.005,0,0,0,0,0,0,0.015,0,0,0.098,0.023,0.004,0,kizgin
0.028,0.07400000000000001,0.009000000000000001,0.002,0.002,0,0.001,0.008,0.01,0,0.004,0.009,0.009000000000000001,0,0.005,kizgin
0.014,0.004,0,0,0.001,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.003,0.02,0.003,0,0,0.013000000000000001,0.109,0.005,0.003,0,0,0.007,0.026000000000000002,0,0,kizgin
0.003,0,0,0,0,0,0,0.153,0,0,0.008,0,0,0,0,kizgin
0.014,0.006,0,0,0,0.003,0,0.004,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.008,0.001,0.003,0.15000000000000002,0,0,0.005,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.014,0.01,0,0,0.001,0,0.001,0,0.001,0,0,0.14600000000000002,0.023,0.004,0,kizgin
0.014,0.004,0,0,0.001,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.023000000000000003,0.07200000000000001,0.007,0.002,0,0,0.003,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.046,0.002,0,0.011,0.007,0.003,0.003,0.153,0,0,0.008,0.004,0.004,0,0.005,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.017,0.076,0.012,0.002,0,0,0.001,0.008,0.017,0,0.004,0.009,0.005,0,0.01,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.014,0.017,0,0.014,0,0,0.004,0,0.001,0.004,0,0.10300000000000001,0.023,0.001,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.008,0.003,0,0,kizgin
0.034,0.116,0.014,0.004,0,0,0.002,0.016,0.02,0,0.008,0.018,0.01,0,0.01,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.016,0.060000000000000005,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0.003,0.005,kizgin
0,0,0.028999999999999998,0.013,0,0,0,0,0,0,0,0,0,0,0,kizgin
0.007,0.001,0,0.072,0.002,0,0.001,0,0.001,0.001,0,0.003,0.128,0,0,kizgin
0.021,0.003,0.005,0.003,0,0,0,0.01,0,0,0,0,0,0,0,kizgin
0,0.038,0.006,0,0,0.005,0.014,0.005,0.002,0,0,0.011000000000000001,0.27,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.016,0.062,0.007,0.002,0,0,0.003,0.008,0.01,0.03,0.004,0.009,0.005,0,0.005,kizgin
0.016,0.058,0.007,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.005,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.005,0,0.002,0.14100000000000001,0,0,0.005,0.003,0,0,0.002,0.006,0,0,0,kizgin
0.009000000000000001,0.029,0.025,0.006,0,0.011,0.005,0.004,0,0,0,0.013999999999999999,0.01,0.001,0,kizgin
0.014,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.001,0.02,0.005,0,0.002,0.003,0.014,0.005,0.006,0,0,0.007,0.02,0,0,kizgin
0.007,0.034,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.019,0,0.005,0.011,0,0.003,0,0,0,0,0.011,0.004,0,0,0,kizgin
0.007,0.029,0.012,0.004,0,0.011,0,0,0,0,0,0.009,0.006,0.001,0,kizgin
0.019,0,0,0.009,0,0,0,0,0,0,0,0.004,0,0,0,kizgin
0.017,0.081,0.012,0.002,0,0,0.001,0.008,0.01,0,0.004,0.009,0.005,0,0.01,kizgin
0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,kizgin
0.008,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.009000000000000001,0.01,0,0.029,0,0.002,0.011,0.087,0.001,0,0.002,0,0,0.002,0,kizgin
0.015,0.004,0,0,0,0,0,0,0.001,0,0,0.098,0.023,0.001,0,kizgin
0.006,0.004,0,0.002,0,0.003,0,0,0,0.03,0,0.004,0,0,0,kizgin
0.008,0.047,0.017,0.004,0.001,0.011,0,0,0,0.034,0,0.009,0.01,0.001,0.005,kizgin
0.007,0,0.002,0.14100000000000001,0,0,0.003,0.003,0,0,0.002,0.006,0,0,0,kizgin
0,0.033,0.002,0,0,0,0.014,0,0.004,0.001,0.001,0,0,0,0.006,kizgin
0.019,0,0,0.009,0,0,0.001,0,0,0,0,0.048,0,0,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.057,0.002,0.001,0.003,0,0,kizgin
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kizgin
0,0,0,0.072,0,0,0.001,0,0,0.001,0,0.001,0.003,0,0,kizgin
