0.008,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,ekonomi
0.034999999999999996,0.001,0.014000000000000002,0.028,0.012,0.054,0.002,0,0,0.05,0,0,0.002,0,0.031,0,0,0,0,0,0,ekonomi
0,0.009000000000000001,0.004,0,0.009000000000000001,0.05,0,0,0,0.008,0.003,0,0,0,0,0.001,0,0,0,0,0,ekonomi
0.017,0,0.011,0,0,0.001,0,0,0,0,0,0,0,0,0.14,0,0.028,0,0,0,0,ekonomi
0.013000000000000001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.068,0,0.028,0,0,0,0,ekonomi
0.023,0,0.001,0.028,0.033,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ekonomi
0.027,0,0,0,0,0.009000000000000001,0,0,0,0,0,0,0.072,0,0.068,0,0,0,0,0.025,0,ekonomi
0.005,0,0,0.004,0,0.01,0,0,0,0,0,0.057999999999999996,0.026,0,0,0,0,0,0,0,0,ekonomi
0.033,0,0.017,0,0,0.006,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,ekonomi
0.018,0.014,0,0.004,0.091,0,0,0.001,0.013,0,0,0,0,0,0.012,0,0,0,0,0,0,ekonomi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ekonomi
0.008,0,0.002,0.008,0.186,0,0.024,0,0,0,0,0.004,0,0.07,0,0.015,0,0,0,0.046,0.038,ekonomi
0.007,0,0.001,0.064,0,0.011,0.016,0.008,0.023,0.007,0,0,0,0,0,0,0,0,0,0,0.02,ekonomi
0,0,0.007,0,0.008,0.022,0,0,0,0.008,0.003,0,0,0,0,0.001,0,0,0,0,0,ekonomi
0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ekonomi
0.041999999999999996,0.001,0.016,0,0.012,0.007,0,0,0,0.032,0,0,0.002,0,0.031,0.002,0.028,0,0,0,0,ekonomi
0.027999999999999997,0,0.001,0.018000000000000002,0.145,0.031,0.049,0,0,0,0,0.004,0,0,0.023,0,0,0,0,0,0,ekonomi
0.009,0.001,0.012,0,0.012,0.001,0,0,0,0.032,0,0,0.002,0,0.056,0,0,0,0,0,0,ekonomi
0.038,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ekonomi
0.015,0,0.002,0,0,0.012,0,0,0,0,0,0.019,0,0,0,0,0.028,0,0,0,0,ekonomi
0.010000000000000002,0,0,0.008,0.097,0,0.024,0,0,0,0,0.057,0,0,0.086,0,0,0,0,0,0,ekonomi
0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ekonomi
0.033,0,0.03,0.032,0.005,0.022,0,0.016,0.003,0,0,0,0,0,0.091,0.001,0,0.004,0,0,0,ekonomi
0.013000000000000001,0.001,0.013000000000000001,0.008,0.148,0.001,0.024,0,0,0.032,0,0.004,0.002,0.07,0.056,0,0,0,0,0.023,0,ekonomi
0,0,0,0.008,0.134,0,0.024,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,ekonomi
0.024,0,0,0,0.095,0.004,0.005,0.007,0,0.001,0,0,0,0,0.005,0,0,0,0,0,0.008,ekonomi
0.059,0,0.006,0.028,0,0.013000000000000001,0,0,0.011,0,0.035,0,0,0,0,0.009000000000000001,0,0,0,0,0,ekonomi
0.001,0,0.043000000000000003,0,0.027,0.022,0,0,0,0.008,0.003,0,0,0,0,0.001,0,0.003,0,0.028999999999999998,0,ekonomi
